@relation winequality-white-weka.filters.unsupervised.attribute.AddID-Cfirst-NID-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.AddID-Cfirst-Ntype_of_wine-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement

@attribute type_of_wine numeric
@attribute fixed_acidity numeric
@attribute volatile_acidity numeric
@attribute citric_acid numeric
@attribute residual_sugar numeric
@attribute chlorides numeric
@attribute free_sulfur_dioxide numeric
@attribute total_sulfur_dioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {quality,3,4,5,6,7,8,9}

@data
5488,10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7
5429,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
745,7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5
3360,6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6
1797,7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,5
5532,10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4
3958,7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12,5
4561,5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,6
5474,12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,6
5555,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5
5144,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
2938,7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5
1559,6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,4
870,7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6
2965,5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5
6327,7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5
4553,6.4,0.55,0.26,9.6,0.027,20,104,0.9924,3.22,0.73,13.1,6
2076,7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5
5114,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5
1585,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
5262,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5
1662,6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,6
1513,7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,7
1455,8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5
1983,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
2118,7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5
5531,7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6
6213,7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,6
4376,6,0.32,0.32,4.8,0.041,40,186,0.99235,3.22,0.54,11,6
463,5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5
5097,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
5983,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6
5521,10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5
3441,6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,5
5692,7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5
2693,6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
2680,7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,6
1441,7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,5
2455,7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,5
4942,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5
3289,6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6
2837,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6
1162,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
6374,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.566667,7
6349,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
1210,8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6
1607,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
4671,6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6
5325,6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6
5628,6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6
5034,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
2465,6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,5
3288,6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7
4017,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5
2454,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6
1936,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5
6110,6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5
776,6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,6
3582,7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8,7
323,6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
5667,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6
292,5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,6
5630,8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5
5853,7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6
32,8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6
4964,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
4796,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7
4405,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
1753,6.1,0.255,0.44,12.3,0.045,53,197,0.9967,3.24,0.54,9.5,6
4101,6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,6
5050,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4
5411,10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,6
4878,5.9,0.54,0,0.8,0.032,12,82,0.99286,3.25,0.36,8.8,5
4417,5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.75,5
4144,6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,6
3327,6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2,5
5093,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
5291,9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5
2725,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
5371,12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6
5040,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
2088,8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6
586,7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
4879,6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4
6410,7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5
2833,6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6
4540,8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,5
4108,6.8,0.3,0.26,20.3,0.037,45,150,0.99727,3.04,0.38,12.3,6
5437,12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7
5194,10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5
5018,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6
3488,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6
6165,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6
3088,6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3
3369,6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
3074,6.7,0.24,0.41,2.9,0.039,48,122,0.99052,3.25,0.43,12,5
2795,6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
2556,6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7
500,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
1689,6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3
949,6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4
2853,7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,5
3237,6.9,0.22,0.39,6,0.035,44,141,0.99123,3.11,0.33,12.5,6
3866,6,0.31,0.38,4.8,0.04,41,101,0.98968,3.24,0.56,13.1,6
2967,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6
1456,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,5
2545,6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,6
5895,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
2824,7.6,0.27,0.34,5,0.04,18,56,0.99084,3.06,0.48,12.4,6
378,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
3423,6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,8
5695,8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,5
5935,7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,7
6179,7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6
3346,6.8,0.18,0.24,9.8,0.058,64,188,0.9952,3.13,0.51,10.6,6
4146,6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4,6
2798,6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
1462,6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,6
555,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
2925,6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
4126,6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,5
5884,7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,6
942,6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,6
5708,7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6
2675,7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,7
6320,7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,5
2921,7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4
4767,6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,8
2052,6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
1191,7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
3839,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5
3153,7.6,0.25,1.23,4.6,0.035,51,294,0.99018,3.03,0.43,13.1,6
1503,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5
4810,6,0.26,0.24,1.3,0.053,66,150,0.9924,3.21,0.62,10.4,6
4272,6.9,0.42,0.2,15.4,0.043,57,201,0.99848,3.08,0.54,9.4,5
4873,6,0.42,0.41,12.4,0.032,50,179,0.99622,3.14,0.6,9.7,5
4958,7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
4367,5.9,0.29,0.28,3.2,0.035,16,117,0.98959,3.26,0.42,12.6,6
5634,7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5
3743,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
2405,9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,5
2407,7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,6
3774,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,5
1736,8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,6
1874,5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5
2613,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
4574,6.8,0.32,0.23,3.3,0.026,31,99,0.9896,3.1,0.4,12.4,6
4015,6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
2617,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
4330,6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,5
5400,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
943,5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7
4203,6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,6
5140,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6
3663,6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,4
3858,5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,6
1096,5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,8
3432,7.1,0.18,0.39,15.25,0.047,45,158,0.99946,3.34,0.77,9.1,6
2907,6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,5
1122,6,0.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,6
2386,7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,5
4750,6.2,0.35,0.25,18.4,0.051,28,182,0.99946,3.13,0.62,9.3,6
5672,7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,6
2603,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
4956,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5
4953,7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
889,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6
3598,6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,6
2020,6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6
3563,7.6,0.37,0.34,3.2,0.028,42,162,0.9903,3.01,0.33,12.4,6
5985,8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7
3243,7,0.29,0.35,1.4,0.036,42,109,0.99119,3.31,0.62,11.6,6
6147,6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6
795,7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5
3412,6,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8,6
6390,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
4358,5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,6
5232,8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5
699,7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5
3167,5.2,0.34,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5,6
3380,7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5
3119,5.9,0.28,0.39,1.4,0.031,47,147,0.98836,3.08,0.64,12.9,7
3588,6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6
6136,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6
4724,6.4,0.42,0.46,8.4,0.05,58,180,0.99495,3.18,0.46,9.7,6
1348,8.2,0.35,0.4,6.3,0.039,35,162,0.9936,3.15,0.34,11.9,7
6100,7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7
5804,9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,5
5019,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5
3108,7.7,0.25,0.49,2.5,0.047,31,169,0.99252,3.07,0.57,10.6,6
6129,7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6
3356,5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6
3333,6.5,0.22,0.28,3.7,0.059,29,151,0.99177,3.23,0.41,12.1,7
2949,6.8,0.26,0.48,6.2,0.049,55,182,0.99582,3.21,0.45,9.4,6
6308,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
203,6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5
526,5.9,0.32,0.39,3.3,0.114,24,140,0.9934,3.09,0.45,9.2,6
1188,6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8
879,6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6
3175,6.9,0.36,0.35,8.6,0.038,37,125,0.9916,3,0.32,12.4,8
1858,8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,5
2737,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
4515,6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,5
5336,11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6
4648,5.8,0.26,0.29,1,0.042,35,101,0.99044,3.36,0.48,11.4,7
5404,10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7
6348,7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,8
5226,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5
5506,8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6
4655,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.966667,7
287,6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,6
2380,6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4
6086,7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6
2371,6.3,0.1,0.24,6,0.039,25,107,0.99511,3.59,0.49,10.5,7
5823,8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5
895,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
39,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5
2860,6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6
3683,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,7
2976,8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,6
4162,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
3391,6.9,0.29,0.3,8.2,0.026,35,112,0.99144,3,0.37,12.3,6
5366,8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
5187,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
4845,4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,6
3443,5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,7
4001,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
5950,8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5
426,7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
2105,6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
5435,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
2981,6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7
4842,5.7,0.22,0.25,1.1,0.05,97,175,0.99099,3.44,0.62,11.1,6
4989,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5
3962,7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9,5
4074,6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5,5
3263,7.6,0.19,0.32,18.75,0.047,32,193,1.00014,3.1,0.5,9.3,7
1125,9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5
2991,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7
3623,7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6
4324,8.4,0.27,0.3,2.2,0.037,36,129,0.99085,2.89,0.3,11.466667,6
5401,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
4418,6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6
1840,7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6
5379,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
3323,5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7
3173,6.7,0.33,0.36,6.6,0.042,34,116,0.99123,2.97,0.31,12.2,8
6003,8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,6
2722,8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,5
4037,7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,5
3822,6.9,0.28,0.28,12.2,0.042,52,139,0.99522,3.03,0.56,10.4,6
88,6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6
2734,6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
1562,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
504,6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5
3552,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
1687,7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10,5
1213,7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,6
3131,6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6
3889,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
1075,6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,6
2141,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
237,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
308,7.3,0.4,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,6
4824,6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12,7
177,7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4
5063,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5
5242,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
223,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
5133,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
64,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
809,6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6
3404,8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4,5
231,6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,4
6072,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
2928,7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,7
2801,6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5
2315,7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6
4847,5.1,0.3,0.3,2.3,0.048,40,150,0.98944,3.29,0.46,12.2,6
1267,7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8
5399,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
2562,6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,5
3080,6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5
187,6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6
3421,7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5,5
865,4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5
4746,6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3
5990,7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,6
4198,6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,5
6433,6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7
1665,8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4
389,6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6
2666,8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5
2704,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
1442,7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5
6207,9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5
6039,7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,6
478,7,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,6
67,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7
3671,6.2,0.21,0.18,11.6,0.044,61,155,0.99655,3.14,0.52,9.4,6
3011,6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5,5
2772,6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,6
4755,6.4,0.19,0.35,10.2,0.043,40,106,0.99632,3.16,0.5,9.7,6
