@relation winequality-white-weka.filters.unsupervised.attribute.AddID-Cfirst-NID-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.AddID-Cfirst-Ntype_of_wine-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-V

@attribute type_of_wine numeric
@attribute fixed_acidity numeric
@attribute volatile_acidity numeric
@attribute citric_acid numeric
@attribute residual_sugar numeric
@attribute chlorides numeric
@attribute free_sulfur_dioxide numeric
@attribute total_sulfur_dioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {quality,3,4,5,6,7,8,9}

@data
6362,6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,6
299,7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6
4579,4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,7
3376,7.8,0.22,0.26,9,0.047,38,132,0.997,3.25,0.53,10.2,6
2075,6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
5463,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
2271,7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
6037,7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5
1806,7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5
2845,8,0.22,0.31,5.6,0.049,24,97,0.993,3.1,0.42,10.9,5
2589,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6125,7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5
4165,7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5
2135,6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,6
2215,7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5
2588,5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6
314,5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6
315,5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
1394,5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6
5987,11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7
4124,6.6,0.44,0.32,3,0.095,13,75,0.98954,3.1,0.63,12.8,6
4563,5.6,0.18,0.3,10.2,0.028,28,131,0.9954,3.49,0.42,10.8,7
2162,6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,7
4656,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.966667,7
3160,6.9,0.19,0.32,7.9,0.042,30,130,0.99456,3.4,0.39,10.5,6
5775,7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4
2528,7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,6
4967,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5
5503,8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,6
5746,7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6
2220,6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7
4546,6.3,0.25,0.53,1.8,0.021,41,101,0.989315,3.19,0.31,13,6
4794,6,0.31,0.32,7.4,0.175,47,159,0.9952,3.19,0.5,9.4,6
331,6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8
3862,6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,6
2936,7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4
3871,6.1,0.23,0.27,9.8,0.055,74,134,0.99534,3.16,0.4,10.2,6
4859,6.4,0.35,0.51,7.8,0.055,53,177,0.99502,3.12,0.45,9.6,5
2616,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
2815,6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
4886,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.55,6
2821,6.7,0.325,0.82,1.2,0.152,49,120,0.99312,2.99,0.38,9.2,5
3281,6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5
4241,6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,6
5267,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5
4607,6.9,0.29,0.32,5.8,0.04,16,112,0.993,3.04,0.58,11.2,5
344,5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5
4857,7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6
2147,7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6
6167,6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6
1789,8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,5
2926,7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5
5624,9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5
2514,6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5
3187,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4
353,5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6
3355,5.9,0.2,0.28,12.8,0.038,29,132,0.99426,3.31,0.57,11.8,7
355,5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6
4770,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
1707,6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,6
1928,7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5
2442,7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6
4172,6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12,5
2336,8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5
362,7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9,5
5279,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
4892,5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,10.6,6
365,6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,7
366,6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,7
1570,6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,5
4383,7,0.24,0.26,1.7,0.041,31,110,0.99142,3.2,0.53,11,6
369,7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6
2959,7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,5
6495,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
4311,5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,6
6284,8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,5
374,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
375,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
376,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
377,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7
2526,7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8
1756,6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6
1783,8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6
6189,7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5
4320,6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.893333,7
4140,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,7
3348,6.6,0.16,0.21,6.7,0.055,43,157,0.99384,3.15,0.52,10.8,6
1926,6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10,6
3647,7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7
387,5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,7
4438,6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.35,6
2398,6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6
2151,7,0.24,0.34,3,0.035,36,102,0.9905,3.18,0.43,12.2,6
3386,6.4,0.32,0.31,1.9,0.037,34,126,0.99,3.06,0.45,11.8,6
392,6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5
3711,4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,5
5071,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
6487,7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,6
396,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5
3899,8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11,7
398,6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
399,5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5
5893,10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5
5444,9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5
3713,6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2,5
1358,6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6
3177,7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6
1743,6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6
6455,6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5
3306,6.3,0.19,0.29,2,0.022,33,96,0.98902,3.04,0.54,12.8,7
4183,7.5,0.38,0.56,9.7,0.055,15,170,0.99605,3.13,0.65,9.9,6
5473,10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,6
5572,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5
5489,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5
3481,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8
413,7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
4235,6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,6
4683,6.8,0.32,0.33,0.7,0.027,15,66,0.9899,3.11,0.31,11.8,6
416,7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
6484,7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6
4247,5.7,0.18,0.26,2.2,0.023,21,95,0.9893,3.07,0.54,12.3,6
5960,9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,8
4903,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
3885,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
5697,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
4224,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4
4593,6.7,0.45,0.3,5.3,0.036,27,165,0.99122,3.12,0.46,12.2,6
3005,6.3,0.18,0.36,1.2,0.034,26,111,0.99074,3.16,0.51,11,6
4249,5.9,0.14,0.2,1.6,0.04,26,114,0.99105,3.25,0.45,11.4,6
4420,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
2733,7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10,5
4684,6.5,0.33,0.32,1,0.041,39,120,0.99004,3.06,0.37,12.2,6
3310,6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4,7
431,6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
5253,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
433,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
5706,8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
4176,6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,7
5908,9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,5
5863,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6
2286,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
5312,9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7
440,6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5
4023,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5
5827,8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5
443,6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,8
444,6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,6
2278,7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,6
4995,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5
3935,7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,6
448,6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
3606,6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5
5250,9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6
451,7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,5
3508,7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7
5523,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
2068,7.6,0.29,0.29,4.4,0.051,26,146,0.9939,3.16,0.39,10.2,5
5659,9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,5
6008,10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6
1971,8.3,0.49,0.43,2.5,0.036,32,116,0.9944,3.23,0.47,10.7,6
458,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
459,6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6
2306,7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7
461,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
3801,8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
4771,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
464,6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
5198,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
4104,5.7,0.31,0.28,4.1,0.03,22,86,0.99062,3.31,0.38,11.7,7
5249,10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6
6198,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3
469,7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
4240,5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9,7
3250,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
5128,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
6456,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
3277,6.6,0.23,0.3,4.6,0.06,29,154,0.99142,3.23,0.49,12.2,8
475,5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6
2122,7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
5558,7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4
2714,6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
5436,8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6
5941,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6
4827,6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6
1584,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
2649,6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6
6295,8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5
5611,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5
5544,7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,7
5056,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
488,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6
3403,7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,6
2638,8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5
2026,7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9,5
5738,6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5
5418,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
494,6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6
6074,6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6
496,5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5,6
497,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
5225,11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7
1728,7.6,0.445,0.44,14.5,0.045,68,212,0.9986,3.48,0.36,10,6
5081,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5
501,7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5,6
502,6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6
2365,6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5
2671,5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7
1710,6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5
2890,8.4,0.36,0.36,11.1,0.032,21,132,0.99313,2.95,0.39,13,6
5449,6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,6
1995,7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
2989,7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,7
6435,6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,6
4339,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
512,7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6
4562,6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6
514,7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,6
2149,7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5
5618,7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
6082,6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5
2752,6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6
519,5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,6
520,7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,5
5372,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5
2777,7,0.36,0.32,10.5,0.045,35,135,0.9935,3.09,0.33,11.6,8
523,6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6
4850,6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5
1502,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
2698,7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,5
527,7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4
2448,6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6
1437,8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5
4976,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6
4130,6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4,7
4816,6.2,0.76,0.01,3.2,0.041,18,120,0.99026,3.2,0.94,13.7,7
3739,5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6
534,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
6066,8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7
1669,7.9,0.18,0.33,1.2,0.033,20,72,0.9922,3.12,0.38,10.5,7
4403,6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6
5447,12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6
539,6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5
4774,5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,7
541,6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4
5623,7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4
5922,8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,6
4986,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
545,6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6
2867,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7
3541,7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,6
5878,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5
5907,8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,7
4369,6.5,0.3,0.28,11.45,0.041,29,109,0.99418,2.98,0.3,10.9,6
2749,5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8
2379,9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5
1310,9.4,0.17,0.55,1.6,0.049,14,94,0.9949,3.02,0.61,10.3,6
554,7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
2535,6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7
1643,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
2298,6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6
558,6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,6
1573,6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6
6359,6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6
561,6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7
6053,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6
2492,6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,5
2931,5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,8
6089,9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6
6131,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
5754,7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7
4943,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5
6146,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5
2065,6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
5691,7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6
1340,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6
6122,10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6
2673,7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,7
575,7.4,0.2,0.33,1.9,0.035,39,138,0.991,3.17,0.44,11.7,7
5944,6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,6
5136,7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6
4970,7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
3406,5.8,0.15,0.32,1.2,0.037,14,119,0.99137,3.19,0.5,10.2,6
3456,7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6
4426,6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9,6
3347,6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,6
6150,7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,5
584,7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
4855,6.2,0.35,0.29,3.9,0.041,22,79,0.99005,3.1,0.59,12.066667,6
5936,7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,5
2650,7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
588,6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,7
5499,8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,4
1659,6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5
5328,12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6
2417,7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,6
593,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
1315,6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6
2148,6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5
2131,7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,5
5999,8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6
1803,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
5361,11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5
2881,7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,5
